,R2,RMSE,MAE
ARIMA,-0.4299476157535429,50473.07049923717,40311.59953126511
LSTM,-0.13200863880214686,44908.084605968295,33521.92578125
GRU,-0.12867903425982652,44841.99134899328,33932.6640625
Stacked Ensemble,0.8816683306878894,14519.449722301435,11977.189166409196
Random Forest,0.0067252089323598385,42066.305189843,33138.606119791686
XGBoost,-0.1299280925681794,44866.796795323506,36532.328125
Decision Tree,-0.2333719821462621,46875.585021016006,36419.6875
SVM,-0.9501255857953026,58942.8256752131,43882.05683552945
Gradient Boost,-0.36431099538813383,49301.07070347992,40349.46580225173
